category_name,product_name,unit_price,median_per_category,average_unit_price,average_unit_price_position,median_unit_price_position
Confections,Zaanse koeken,9.5,16.25,25.16000007,Below Average,Below Median
Confections,Chocolade,12.75,16.25,25.16000007,Below Average,Below Median
Confections,Maxilaku,20,16.25,25.16000007,Below Average,Over Median
Confections,Valkoinen suklaa,16.25,16.25,25.16000007,Below Average,Over Median
Confections,Tarte au sucre,49.3,16.25,25.16000007,Over Average,Over Median
Dairy Products,Gudbrandsdalsost,36,32,28.72999992,Over Average,Over Median
Dairy Products,Camembert Pierrot,34,32,28.72999992,Over Average,Over Median
Dairy Products,Mozzarella di Giovanni,34.8,32,28.72999992,Over Average,Over Median
Dairy Products,Geitost,2.5,32,28.72999992,Below Average,Below Median
Dairy Products,Mascarpone Fabioli,32,32,28.72999992,Over Average,Over Median
Dairy Products,Gorgonzola Telino,12.5,32,28.72999992,Below Average,Below Median
Dairy Products,Queso Manchego La Pastora,38,32,28.72999992,Over Average,Over Median
Dairy Products,Queso Cabrales,21,32,28.72999992,Below Average,Below Median
Dairy Products,Flotemysost,21.5,32,28.72999992,Below Average,Below Median
Dairy Products,Raclette Courdavault,55,32,28.72999992,Over Average,Over Median
Grains/Cereals,Gnocchi di nonna Alice,38,19.5,20.25,Over Average,Over Median
Grains/Cereals,Ravioli Angelo,19.5,19.5,20.25,Below Average,Over Median
Grains/Cereals,Gustaf's Knäckebröd,21,19.5,20.25,Over Average,Over Median
Grains/Cereals,Filo Mix,7,19.5,20.25,Below Average,Below Median
Grains/Cereals,Singaporean Hokkien Fried Mee,14,19.5,20.25,Below Average,Below Median
Grains/Cereals,Tunnbröd,9,19.5,20.25,Below Average,Below Median
Grains/Cereals,Wimmers gute Semmelknödel,33.25,19.5,20.25,Over Average,Over Median
Meat/Poultry,Alice Mutton,39,32.8,54.00666666,Below Average,Over Median
Meat/Poultry,Mishi Kobe Niku,97,32.8,54.00666666,Over Average,Over Median
Meat/Poultry,Perth Pasties,32.8,32.8,54.00666666,Below Average,Over Median
Meat/Poultry,Tourtière,7.45,32.8,54.00666666,Below Average,Below Median
Meat/Poultry,Pâté chinois,24,32.8,54.00666666,Below Average,Below Median
Meat/Poultry,Thüringer Rostbratwurst,123.79,32.8,54.00666666,Over Average,Over Median
Produce,Manjimup Dried Apples,53,30,32.36999969,Over Average,Over Median
Produce,Uncle Bob's Organic Dried Pears,30,30,32.36999969,Below Average,Over Median
Produce,Longlife Tofu,10,30,32.36999969,Below Average,Below Median
Produce,Rössle Sauerkraut,45.6,30,32.36999969,Over Average,Over Median
Produce,Tofu,23.25,30,32.36999969,Below Average,Below Median
Seafood,Gravad lax,26,15,20.68249989,Over Average,Over Median
Seafood,Boston Crab Meat,18.4,15,20.68249989,Below Average,Over Median
Seafood,Jack's New England Clam Chowder,9.65,15,20.68249989,Below Average,Below Median
Seafood,Rogede sild,9.5,15,20.68249989,Below Average,Below Median
Seafood,Spegesild,12,15,20.68249989,Below Average,Below Median
Seafood,Röd Kaviar,15,15,20.68249989,Below Average,Over Median
Seafood,Ikura,31,15,20.68249989,Over Average,Over Median
Seafood,Escargots de Bourgogne,13.25,15,20.68249989,Below Average,Below Median
Seafood,Carnarvon Tigers,62.5,15,20.68249989,Over Average,Over Median
Seafood,Konbu,6,15,20.68249989,Below Average,Below Median
Seafood,Inlagd Sill,19,15,20.68249989,Below Average,Over Median
Seafood,Nord-Ost Matjeshering,25.89,15,20.68249989,Over Average,Over Median
